,train,val,ap
0,0.6671764135360718,0.6208196878433228,0.5394551040699416
1,0.5954730391502381,0.5052900314331055,0.9017204567682175
2,0.5179993867874145,0.41979479789733887,0.9295416781048791
3,0.49343193769454957,0.34100428223609924,0.9030610921261845
4,0.4248066782951355,0.2692805528640747,0.9194956381979842
5,0.3978907823562622,0.3460731506347656,0.8508951405176685
6,0.41204565167427065,0.255950927734375,0.9211400717282868
7,0.42648141980171206,0.3164011836051941,0.900520690120975
8,0.3869097471237183,0.3106250464916229,0.8836791225083563
9,0.33023125529289243,0.23505574464797974,0.9406615404954827
10,0.2993038535118103,0.27014708518981934,0.8859187555912823
11,0.3790657460689545,0.2248111069202423,0.9361441824149892
12,0.3237304091453552,0.25700393319129944,0.9325847757374055
13,0.3706036388874054,0.38962191343307495,0.831905424179396
14,0.3415827929973602,0.24149355292320251,0.9213795656719789
15,0.4108682990074158,0.3022788166999817,0.8863498480130174
16,0.3667264938354492,0.2306768298149109,0.9358612247662805
17,0.3323201656341553,0.21676069498062134,0.9576647828066556
18,0.30171948969364165,0.21635887026786804,0.9200645683808677
19,0.2579799622297287,0.2099483460187912,0.9408833753864404
20,0.21635662019252777,0.22275683283805847,0.9320649777573242
21,0.26035194396972655,0.24674120545387268,0.9163779856076929
22,0.1832419753074646,0.2630631923675537,0.9280430772161
23,0.3214613676071167,0.2842605412006378,0.8636163002140088
24,0.31779382228851316,0.24760282039642334,0.9298489112507451
25,0.3016044110059738,0.2115441858768463,0.9511846301857525
26,0.22308345139026642,0.18756873905658722,0.9584172844956241
27,0.31539846062660215,0.19024550914764404,0.9548670593668291
28,0.24082791805267334,0.24135248363018036,0.8762229037296958
29,0.18417726159095765,0.21795475482940674,0.9290316953691735
30,0.23473225235939027,0.28418228030204773,0.9066911539957097
31,0.1908865451812744,0.18409237265586853,0.938453491425952
32,0.1675229549407959,0.23716799914836884,0.942432537939099
33,0.28731495440006255,0.23630459606647491,0.9392284222750009
34,0.2163897842168808,0.18513326346874237,0.9561842003902568
35,0.2284894049167633,0.1827651560306549,0.9534919353192358
36,0.16763097941875457,0.16883495450019836,0.9616356937487381
37,0.16667363941669464,0.18876129388809204,0.9380930596442797
38,0.18874794840812684,0.2455155849456787,0.9140738898100571
39,0.1759139895439148,0.2521834373474121,0.8989596425800168
40,0.24947290420532225,0.1757163107395172,0.9413883298917747
41,0.17770469188690186,0.1747792363166809,0.9501001688770973
42,0.26795590221881865,0.17068709433078766,0.9602718678377901
43,0.2064063310623169,0.1408318281173706,0.9682123871207072
44,0.18587748408317567,0.1876329481601715,0.9557733358995468
45,0.15918273627758026,0.15474465489387512,0.9565876900752054
46,0.16676950603723525,0.1634777933359146,0.9662551128362626
47,0.22598812580108643,0.2130504548549652,0.9468961383207
48,0.18186119794845582,0.17739388346672058,0.9616132852227972
49,0.19489060938358307,0.15746654570102692,0.967366212752434
50,0.29681034982204435,0.1920701563358307,0.949487830998339
51,0.2862204730510712,0.28188061714172363,0.9004056104207048
52,0.2788625776767731,0.20493069291114807,0.9582210300814211
53,0.26830252408981325,0.13635995984077454,0.9747306914712374
54,0.24623631238937377,0.17675423622131348,0.9476207745976168
55,0.1891070142388344,0.13777898252010345,0.9672780319141175
56,0.21581622958183289,0.17789116501808167,0.9615495685122022
57,0.15678510665893555,0.15352505445480347,0.9657056149185639
58,0.20024970173835754,0.12480080127716064,0.9741290871578627
59,0.1335894361138344,0.23621413111686707,0.9408595869780456
60,0.15941469520330429,0.09678739309310913,0.97600445225
61,0.167469522356987,0.10131552815437317,0.9772725155706818
62,0.1331680342555046,0.16000790894031525,0.955196681540867
63,0.14624949991703035,0.18856635689735413,0.9552197361351796
64,0.10168449133634568,0.1174139454960823,0.9761383663446499
65,0.11748868077993393,0.14012472331523895,0.9666321716864186
66,0.09852682650089264,0.14109477400779724,0.9716634010357579
67,0.09405211806297302,0.08041637390851974,0.9815389067132065
68,0.12778314352035522,0.09614204615354538,0.9782407695636484
69,0.17783398926258087,0.10201927274465561,0.9689803746387708
70,0.22990698963403702,0.13600537180900574,0.9586707415363859
71,0.19387728869915008,0.16041728854179382,0.9603020521971491
72,0.18850524723529816,0.1922524869441986,0.9458783627787631
73,0.12860035598278047,0.11864922940731049,0.9738789821174118
74,0.14138457775115967,0.10806325078010559,0.9723827371632351
